날짜,전체거래의 이익,전체거래의 이익 누적,매수거래의 이익,매수거래의 이익 누적,매도거래의 이익,매도거래의 이익누적,전체거래의 거래횟수,매수거래의 거래횟수,매도거래의 거래횟수,가격
2014-01-06,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,93.600000
2014-01-07,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,93.950000
2014-01-08,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,92.550000
2014-01-09,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,92.280000
2014-01-10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,92.890000
2014-01-14,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,92.670000
2014-01-15,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,94.300000
2014-01-16,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,94.160000
2014-01-17,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,94.090000
2014-01-20,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,93.720000
2014-01-21,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,94.990000
2014-01-22,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,96.740000
2014-01-23,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,97.350000
2014-01-24,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,96.900000
2014-01-27,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,95.630000
2014-01-28,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,97.170000
2014-01-29,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,97.470000
2014-01-30,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,98.070000
2014-01-31,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,97.410000
2014-02-03,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,96.670000
2014-02-04,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,97.760000
