순번,신호종류,진입시간,청산시간,진입가격,청산가격,수익
0,매도진입,2015/02/11 14:40:00,2015/02/11 17:40:00,1233.200000,1223.600000,9.600000
1,매수진입,2015/02/11 17:40:00,2015/02/11 22:00:00,1223.600000,1219.500000,-4.100000
0,매도진입,2015/02/12 14:40:00,2015/02/12 15:40:00,1226.000000,1225.500000,0.500000
1,매수진입,2015/02/12 15:40:00,2015/02/12 16:20:00,1225.500000,1221.100000,-4.400000
0,매수진입,2015/02/13 14:40:00,2015/02/13 18:20:00,1228.400000,1229.900000,1.500000
1,매도진입,2015/02/13 19:40:00,2015/02/13 22:00:00,1226.900000,1228.500000,-1.600000
0,매도진입,2015/02/16 18:00:00,2015/02/16 22:00:00,1232.500000,1230.500000,2.000000
0,매수진입,2015/02/17 14:40:00,2015/02/17 15:20:00,1223.600000,1213.200000,-10.400000
1,매도진입,2015/02/17 15:20:00,2015/02/17 15:40:00,1213.200000,1212.800000,0.400000
0,매도진입,2015/02/18 14:40:00,2015/02/18 16:00:00,1207.300000,1208.200000,-0.900000
1,매수진입,2015/02/18 20:20:00,2015/02/18 22:00:00,1208.100000,1211.100000,3.000000
0,매수진입,2015/02/19 14:40:00,2015/02/19 15:20:00,1215.300000,1211.400000,-3.900000
1,매도진입,2015/02/19 15:20:00,2015/02/19 15:40:00,1211.400000,1212.500000,-1.100000
0,매도진입,2015/02/20 14:40:00,2015/02/20 17:00:00,1212.400000,1206.400000,6.000000
1,매수진입,2015/02/20 17:00:00,2015/02/20 22:00:00,1206.400000,1201.000000,-5.400000
0,매도진입,2015/02/11 14:40:00,2015/02/11 17:40:00,1233.200000,1223.600000,9.600000
1,매수진입,2015/02/11 17:40:00,2015/02/11 22:00:00,1223.600000,1219.500000,-4.100000
0,매도진입,2015/02/12 14:40:00,2015/02/12 15:40:00,1226.000000,1225.500000,0.500000
1,매수진입,2015/02/12 15:40:00,2015/02/12 16:20:00,1225.500000,1221.100000,-4.400000
0,매수진입,2015/02/13 14:40:00,2015/02/13 18:20:00,1228.400000,1229.900000,1.500000
1,매도진입,2015/02/13 19:40:00,2015/02/13 22:00:00,1226.900000,1228.500000,-1.600000
0,매도진입,2015/02/11 14:40:00,2015/02/11 17:40:00,1233.200000,1223.600000,9.600000
1,매수진입,2015/02/11 17:40:00,2015/02/11 22:00:00,1223.600000,1219.500000,-4.100000
0,매도진입,2015/02/12 14:40:00,2015/02/12 15:40:00,1226.000000,1225.500000,0.500000
1,매수진입,2015/02/12 15:40:00,2015/02/12 16:20:00,1225.500000,1221.100000,-4.400000
0,매수진입,2015/02/13 14:40:00,2015/02/13 18:20:00,1228.400000,1229.900000,1.500000
1,매도진입,2015/02/13 19:40:00,2015/02/13 22:00:00,1226.900000,1228.500000,-1.600000
0,매도진입,2015/02/16 18:00:00,2015/02/16 22:00:00,1232.500000,1230.500000,2.000000
