순번,신호종류,진입시간,청산시간,진입가격,청산가격,수익
0,매수진입,2012/04/03 14:30:00,2012/04/03 21:00:00,1.33440,1.33130,-0.00310
0,매도진입,2012/04/04 14:30:00,2012/04/04 21:00:00,1.32010,1.31510,0.00500
0,매수진입,2012/04/09 14:30:00,,1.30730,1.30860,0.00130
0,매수진입,2012/04/10 14:30:00,2012/04/10 19:30:00,1.31170,1.30760,-0.00410
0,매도진입,2012/04/11 14:30:00,2012/04/11 19:30:00,1.31050,1.31470,-0.00420
0,매도진입,2012/04/12 14:30:00,2012/04/12 18:00:00,1.31430,1.31240,0.00190
1,매수진입,2012/04/12 18:00:00,2012/04/12 21:00:00,1.31240,1.31680,0.00440
0,매도진입,2012/04/16 14:30:00,2012/04/16 21:00:00,1.30330,1.30300,0.00030
0,매수진입,2012/04/17 15:00:00,2012/04/17 21:00:00,1.31110,1.31360,0.00250
0,매수진입,2012/04/18 14:30:00,2012/04/18 20:00:00,1.31200,1.30800,-0.00400
0,매수진입,2012/04/19 14:30:00,2012/04/19 21:00:00,1.31200,1.30920,-0.00280
0,매수진입,2012/04/20 14:30:00,2012/04/20 21:00:00,1.31460,1.31940,0.00480
