날짜,전체거래의 이익,전체거래의 이익 누적,매수거래의 이익,매수거래의 이익 누적,매도거래의 이익,매도거래의 이익누적,전체거래의 거래횟수,매수거래의 거래횟수,매도거래의 거래횟수,가격
2012-04-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,1.33
2012-04-03,-0.00310,-0.00310,-0.00310,-0.00310,0.00000,0.00000,1.00,1.00,0.00,1.33
2012-04-04,0.00500,0.00190,0.00000,-0.00310,0.00500,0.00500,1.00,0.00,1.00,1.31
2012-04-05,0.00000,0.00190,0.00000,-0.00310,0.00000,0.00500,0.00,0.00,0.00,1.31
2012-04-06,0.00000,0.00190,0.00000,-0.00310,0.00000,0.00500,0.00,0.00,0.00,1.31
2012-04-09,0.00130,0.00320,0.00130,-0.00180,0.00000,0.00500,1.00,1.00,0.00,1.31
2012-04-10,-0.00410,-0.00090,-0.00410,-0.00590,0.00000,0.00500,1.00,1.00,0.00,1.31
2012-04-11,-0.00420,-0.00510,0.00000,-0.00590,-0.00420,0.00080,1.00,0.00,1.00,1.31
2012-04-12,0.00630,0.00120,0.00440,-0.00150,0.00190,0.00270,2.00,1.00,1.00,1.32
2012-04-13,0.00000,0.00120,0.00000,-0.00150,0.00000,0.00270,0.00,0.00,0.00,1.31
2012-04-16,0.00030,0.00150,0.00000,-0.00150,0.00030,0.00300,1.00,0.00,1.00,1.30
2012-04-17,0.00250,0.00400,0.00250,0.00100,0.00000,0.00300,1.00,1.00,0.00,1.31
2012-04-18,-0.00400,0.00000,-0.00400,-0.00300,0.00000,0.00300,1.00,1.00,0.00,1.31
2012-04-19,-0.00280,-0.00280,-0.00280,-0.00580,0.00000,0.00300,1.00,1.00,0.00,1.31
2012-04-20,0.00480,0.00200,0.00480,-0.00100,0.00000,0.00300,1.00,1.00,0.00,1.32
2012-04-23,0.00000,0.00200,0.00000,-0.00100,0.00000,0.00300,0.00,0.00,0.00,1.31
2012-04-24,0.00000,0.00200,0.00000,-0.00100,0.00000,0.00300,0.00,0.00,0.00,1.32
2012-04-25,0.00000,0.00200,0.00000,-0.00100,0.00000,0.00300,0.00,0.00,0.00,1.32
