순번,날짜,시간,OPS,선물가격
0,2015-09-10,19:20:00,1951.500000,1951.50
1,2015-09-10,19:21:00,1950.250000,1950.25
2,2015-09-10,19:22:00,1952.000000,1952.00
3,2015-09-10,19:23:00,1951.500000,1951.50
4,2015-09-10,19:24:00,1954.000000,1954.00
5,2015-09-10,19:25:00,1954.500000,1954.50
6,2015-09-10,19:26:00,1954.500000,1954.50
7,2015-09-10,19:27:00,1953.500000,1953.50
8,2015-09-10,19:28:00,1954.750000,1954.75
9,2015-09-10,19:29:00,1958.500000,1958.50
10,2015-09-10,19:30:00,1958.500000,1958.50
11,2015-09-10,19:31:00,1958.500000,1958.50
12,2015-09-10,19:32:00,1958.000000,1958.00
13,2015-09-10,19:33:00,1960.500000,1960.50
14,2015-09-10,19:34:00,1959.750000,1959.75
15,2015-09-10,19:35:00,1960.000000,1960.00
16,2015-09-10,19:36:00,1960.000000,1960.00
17,2015-09-10,19:37:00,1961.750000,1961.75
18,2015-09-10,19:38:00,1962.750000,1962.75
19,2015-09-10,19:39:00,1962.250000,1962.25
20,2015-09-10,19:40:00,1962.500000,1962.50
21,2015-09-10,19:41:00,1962.750000,1962.75
22,2015-09-10,19:42:00,1961.750000,1961.75
23,2015-09-10,19:43:00,1961.500000,1961.50
24,2015-09-10,19:44:00,1960.750000,1960.75
25,2015-09-10,19:45:00,1961.250000,1961.25
26,2015-09-10,19:46:00,1960.500000,1960.50
27,2015-09-10,19:47:00,1959.000000,1959.00
28,2015-09-10,19:48:00,1959.500000,1959.50
29,2015-09-10,19:49:00,1960.250000,1960.25
30,2015-09-10,19:50:00,1961.000000,1961.00
31,2015-09-10,19:51:00,1962.000000,1962.00
32,2015-09-10,19:52:00,1961.500000,1961.50
33,2015-09-10,19:53:00,1960.750000,1960.75
34,2015-09-10,19:54:00,1960.500000,1960.50
35,2015-09-10,19:55:00,1958.750000,1958.75
36,2015-09-10,19:56:00,1958.750000,1958.75
37,2015-09-10,19:57:00,1959.250000,1959.25
38,2015-09-10,19:58:00,1959.250000,1959.25
39,2015-09-10,19:59:00,1959.250000,1959.25
40,2015-09-10,20:00:00,1961.000000,1961.00
41,2015-09-10,20:01:00,1961.000000,1961.00
42,2015-09-10,20:02:00,1961.500000,1961.50
43,2015-09-10,20:03:00,1959.000000,1959.00
44,2015-09-10,20:04:00,1958.750000,1958.75
45,2015-09-10,20:05:00,1960.250000,1960.25
46,2015-09-10,20:06:00,1960.000000,1960.00
47,2015-09-10,20:07:00,1960.000000,1960.00
48,2015-09-10,20:08:00,1959.500000,1959.50
49,2015-09-10,20:09:00,1959.500000,1959.50
50,2015-09-10,20:10:00,1959.500000,1959.50
51,2015-09-10,20:11:00,1959.500000,1959.50
52,2015-09-10,20:12:00,1960.250000,1960.25
53,2015-09-10,20:13:00,1959.750000,1959.75
54,2015-09-10,20:14:00,1961.000000,1961.00
55,2015-09-10,20:15:00,1959.750000,1959.75
56,2015-09-10,20:16:00,1957.250000,1957.25
57,2015-09-10,20:17:00,1957.500000,1957.50
58,2015-09-10,20:18:00,1957.500000,1957.50
59,2015-09-10,20:19:00,1957.250000,1957.25
60,2015-09-10,20:20:00,1957.000000,1957.00
61,2015-09-10,20:21:00,1956.250000,1956.25
62,2015-09-10,20:22:00,1955.750000,1955.75
63,2015-09-10,20:23:00,1956.750000,1956.75
64,2015-09-10,20:24:00,1957.750000,1957.75
65,2015-09-10,20:25:00,1958.000000,1958.00
66,2015-09-10,20:26:00,1957.250000,1957.25
67,2015-09-10,20:27:00,1957.250000,1957.25
68,2015-09-10,20:28:00,1957.000000,1957.00
69,2015-09-10,20:29:00,1957.000000,1957.00
70,2015-09-10,20:30:00,1957.250000,1957.25
71,2015-09-10,20:31:00,1959.500000,1959.50
72,2015-09-10,20:32:00,1958.500000,1958.50
73,2015-09-10,20:33:00,1959.250000,1959.25
74,2015-09-10,20:34:00,1958.500000,1958.50
75,2015-09-10,20:35:00,1957.250000,1957.25
76,2015-09-10,20:36:00,1957.750000,1957.75
77,2015-09-10,20:37:00,1956.750000,1956.75
78,2015-09-10,20:38:00,1957.500000,1957.50
79,2015-09-10,20:39:00,1958.250000,1958.25
80,2015-09-10,20:40:00,1957.250000,1957.25
81,2015-09-10,20:41:00,1958.500000,1958.50
82,2015-09-10,20:42:00,1959.000000,1959.00
83,2015-09-10,20:43:00,1959.000000,1959.00
84,2015-09-10,20:44:00,1958.500000,1958.50
85,2015-09-10,20:45:00,1957.250000,1957.25
86,2015-09-10,20:46:00,1958.250000,1958.25
87,2015-09-10,20:47:00,1957.250000,1957.25
88,2015-09-10,20:48:00,1956.000000,1956.00
89,2015-09-10,20:49:00,1956.500000,1956.50
90,2015-09-10,20:50:00,1955.750000,1955.75
91,2015-09-10,20:51:00,1956.750000,1956.75
92,2015-09-10,20:52:00,1956.500000,1956.50
93,2015-09-10,20:53:00,1955.250000,1955.25
94,2015-09-10,20:54:00,1955.250000,1955.25
95,2015-09-10,20:55:00,1955.500000,1955.50
96,2015-09-10,20:56:00,1954.250000,1954.25
