순번,신호종류,진입시간,청산시간,진입가격,청산가격
0,매도진입,2015/09/11 15:30:00,2015/09/11 15:32:00,1933.50,1933.25
1,매수진입,2015/09/11 15:32:00,2015/09/11 15:34:00,1933.25,1934.50
2,매도진입,2015/09/11 15:34:00,2015/09/11 15:35:00,1934.50,1931.50
3,매수진입,2015/09/11 15:35:00,2015/09/11 15:37:00,1931.50,1936.00
4,매도진입,2015/09/11 15:37:00,2015/09/11 16:00:00,1936.00,1929.25
5,매수진입,2015/09/11 16:00:00,2015/09/11 16:21:00,1929.25,1934.25
6,매도진입,2015/09/11 16:21:00,2015/09/11 16:57:00,1934.25,1930.00
7,매수진입,2015/09/11 16:57:00,2015/09/11 17:37:00,1930.00,1933.50
8,매도진입,2015/09/11 17:37:00,2015/09/11 18:40:00,1933.50,1941.25
9,매수진입,2015/09/11 18:40:00,2015/09/11 18:49:00,1941.25,1944.50
10,매도진입,2015/09/11 18:49:00,2015/09/11 19:15:00,1944.50,1941.25
11,매수진입,2015/09/11 19:15:00,2015/09/11 20:23:00,1941.25,1941.50
12,매도진입,2015/09/11 20:23:00,2015/09/11 21:36:00,1941.50,1944.50
13,매수진입,2015/09/11 21:36:00,2015/09/11 21:54:00,1944.50,1945.50
14,매도진입,2015/09/11 21:54:00,2015/09/11 22:00:00,1945.50,1950.75
